numRows=16
numColumns=26
tileHeight=10
numSteps=0
startingRows=6,7,8
startingLocation=-2510.000000,-1500.000000,-115.000000
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,
1,1,1,2,2,1,1,1,1,1,1,1,1,1,4,4,1,1,2,2,2,3,5,3,3,1,
1,1,1,2,5,0,0,1,1,1,1,1,1,1,1,1,1,1,2,5,2,3,3,5,3,1,
1,1,1,2,2,0,0,1,1,2,2,1,1,1,1,1,1,1,0,0,2,1,3,3,3,1,
1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,
1,1,1,3,3,4,1,1,1,4,4,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,3,3,4,1,1,1,4,4,1,0,0,0,1,1,4,4,1,1,4,4,1,1,1,
1,1,1,1,3,3,1,1,4,1,1,1,1,2,2,1,1,4,4,1,1,4,4,2,2,1,
1,1,1,1,3,3,1,1,4,1,1,3,3,2,2,1,1,1,1,1,1,1,1,2,2,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,
1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,0,0,0,1,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,
1,3,1,3,3,0,0,0,4,4,1,1,1,1,3,3,3,1,1,2,1,0,0,4,4,1,
1,3,1,2,2,1,1,4,5,4,1,1,1,1,3,5,3,1,1,1,1,0,0,5,4,1,
1,1,1,2,2,1,1,4,4,4,1,1,1,1,3,3,3,1,1,3,3,1,1,4,4,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,
